year,fixed_source,colombia_fixed_mbps,chile_fixed_mbps,new_zealand_fixed_mbps,oecd_fixed_mbps,world_fixed_mbps,mobile_source,colombia_mobile_mbps,chile_mobile_mbps,new_zealand_mobile_mbps,oecd_mobile_mbps,world_mobile_mbps,note
2008,Akamai,1.22,1.81,2.72,3.9734482759,3.1715555556,NA,NA,NA,NA,NA,NA,
2009,Akamai,1.66,2.26,2.97,4.1024137931,3.3173333333,NA,NA,NA,NA,NA,NA,
2010,Akamai,1.90,2.50,3.40,4.7586206897,3.9044444444,NA,NA,NA,NA,NA,NA,
2011,Akamai,2.40,2.80,3.70,5.50,4.5306122449,NA,NA,NA,NA,NA,NA,
2012,Akamai,2.70,2.90,4.00,5.95,4.80,NA,NA,NA,NA,NA,NA,
2013,Akamai,2.90,3.40,5.30,8.0529411765,6.4509090909,NA,NA,NA,NA,NA,NA,
2014,Akamai,3.70,5.00,7.30,9.8354838710,7.8777777778,Akamai,2.20,2.00,3.30,6.3925925926,4.8655172414,
2015,Akamai,4.50,6.10,9.30,12.5677419355,9.80,Akamai,3.20,2.50,7.40,9.2031250000,6.2876712329,
2016,Akamai,5.40,8.60,12.90,14.2918918919,11.3594594595,Akamai,6.60,5.90,12.50,12.9473684211,9.7693181818,
2017,Akamai,5.50,9.30,14.70,14.6702702703,11.6959459459,Akamai,6.70,7.20,13.00,13.0540540541,10.6621621622,
2018,Ookla,23.28,85.05,NA,NA,66.52,Ookla,18.05,20.08,NA,NA,28.02,"Cobertura parcial del índice oficial. No se usa para unir metodológicamente Akamai y Ookla."
2019,Ookla,20.64,77.04,64.31,63.7594736842,30.5212017167,Ookla,17.59,19.44,48.21,43.3523684211,27.3718834081,
2020,Ookla,38.65,127.71,80.38,83.5615789474,41.5724017467,Ookla,18.22,19.69,61.10,51.7344736842,33.2971111111,
2021,Ookla,67.27,201.34,124.95,116.5078947368,56.3740343348,Ookla,17.37,23.01,76.24,75.1397368421,43.6714285714,
2022,Ookla,104.92,245.32,165.14,137.3781578947,67.2078787879,Ookla,17.42,59.16,113.67,97.7178947368,54.2156086957,
2023,Ookla,139.60,276.01,181.22,165.3089473684,85.4823504274,Ookla,18.65,72.36,129.04,115.0323684211,65.8456956522,
2024,Ookla,184.25,338.70,196.81,198.4328947368,106.6867521368,Ookla,47.86,82.73,159.95,140.2713157895,79.7501716738,
2025,Ookla,215.57,387.04,227.11,238.6934210526,134.0838723404,Ookla,70.32,102.18,183.21,164.9971052632,95.6231168831,
2026,Ookla,237.86,399.46,235.26,271.2268421053,153.1629741379,Ookla,82.09,99.90,187.07,179.4047368421,103.7137885463,"Provisional. Corresponde a los periodos disponibles al corte."
